Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,Run,Hit,two_Base,three_Base,Home_Run,Runs_Batted_In,Four_Ball,Strike_Out,On_Base_Percentage,Onbase_Plus_Slug
김석환,KIA,0.274,30,80,9,20,1,2,1,13,6,34,0.338,0.722
김선빈,KIA,0.292,34,125,11,31,10,0,0,17,16,11,0.387,0.774
김성우,LG,0.333,3,3,0,1,0,0,0,1,0,1,0.333,0.666
김성욱,SSG,0.182,19,34,1,6,1,0,0,5,1,11,0.206,0.418
김성윤,삼성,0.329,71,283,49,79,18,3,2,31,33,32,0.413,0.867
김성현,SSG,0.229,31,86,11,16,2,0,1,7,11,10,0.329,0.629
김수윤,SSG,0.091,7,12,0,1,0,0,0,0,0,4,0.167,0.258
김영웅,삼성,0.237,72,281,34,60,12,1,8,31,25,86,0.306,0.693
김인태,두산,0.242,62,112,8,22,5,0,2,11,18,27,0.375,0.738
김재성,삼성,0.13,31,62,3,7,1,0,0,4,4,21,0.213,0.361
김재현,키움,0.235,50,104,12,23,5,0,0,4,1,23,0.265,0.551
김재환,두산,0.242,79,324,34,67,10,2,8,37,42,73,0.349,0.728
김정호,NC,0.444,7,10,2,4,0,0,0,0,0,4,0.444,0.888
김주성,LG,0.2,12,11,2,2,0,0,1,1,1,1,0.273,0.773
김주원,NC,0.259,85,373,56,83,13,3,5,29,39,61,0.352,0.718
김준상,두산,0.2,9,17,1,3,1,0,0,0,0,8,0.25,0.517
김지찬,삼성,0.269,60,256,39,60,6,2,0,17,22,23,0.343,0.657
김찬형,SSG,0.188,35,74,4,13,2,0,0,5,3,13,0.233,0.45
김태군,KIA,0.236,61,173,13,34,8,1,1,20,15,11,0.323,0.649
김태근,삼성,0.333,11,14,2,4,0,0,0,0,2,4,0.429,0.762
김태연,한화,0.235,71,204,22,44,7,0,1,11,10,43,0.289,0.578
김태윤,SSG,1,5,2,0,1,0,0,0,0,1,0,1,2
김태진,키움,0.255,59,181,18,42,9,1,3,13,13,33,0.306,0.682
김태훈,삼성,0.259,30,60,1,15,1,0,1,4,1,13,0.271,0.599
김한별,NC,0.303,42,39,9,10,0,0,0,3,2,3,0.395,0.698
김헌곤,삼성,0.264,40,121,17,29,5,0,2,6,5,17,0.319,0.683
김현수,LG,0.299,87,344,43,88,16,0,7,58,46,45,0.398,0.823
김형준,NC,0.216,71,234,26,45,6,1,12,35,22,75,0.292,0.72
김호령,KIA,0.284,49,171,20,42,14,1,2,24,17,38,0.363,0.795
김휘집,NC,0.223,84,299,36,59,10,1,10,27,23,63,0.312,0.695
나성범,KIA,0.226,26,110,13,21,5,0,4,16,16,21,0.345,0.754
나승엽,롯데,0.239,69,277,31,56,9,2,8,35,39,42,0.351,0.748
노시환,한화,0.232,87,377,57,76,13,1,17,59,40,85,0.326,0.759
데이비슨,NC,0.309,63,245,30,68,10,0,16,47,14,66,0.359,0.932
도태훈,NC,0.208,37,67,6,11,4,1,0,4,6,9,0.323,0.644
디아즈,삼성,0.293,88,378,52,100,16,0,29,88,31,66,0.352,0.947
레이예스,롯데,0.34,89,397,51,122,27,0,10,69,31,47,0.388,0.887
로하스,KT,0.255,82,351,45,77,19,0,13,42,44,63,0.348,0.795
류지혁,삼성,0.31,83,306,37,81,10,0,1,26,25,50,0.385,0.745
류현준,두산,0.111,13,18,2,2,0,0,0,0,0,5,0.111,0.222
리베라토,한화,0.387,15,68,12,24,5,0,2,13,6,15,0.441,1.006
맥브룸,SSG,0.203,22,80,8,15,3,0,4,11,5,28,0.263,0.668
문보경,LG,0.287,86,371,57,88,13,1,14,63,56,56,0.396,0.868
문상철,KT,0.208,65,190,20,33,5,1,4,17,21,38,0.314,0.641
문성주,LG,0.283,79,303,25,76,8,1,0,29,30,38,0.353,0.673
문정빈,LG,0.167,21,33,5,5,0,0,2,4,1,11,0.242,0.609
문현빈,한화,0.324,85,352,41,102,19,1,9,46,23,53,0.372,0.848
박건우,NC,0.277,65,226,17,52,11,1,3,34,30,33,0.381,0.775
박계범,두산,0.241,50,100,11,21,4,2,0,11,8,25,0.313,0.646
박관우,LG,0.5,3,4,2,2,0,0,1,2,0,1,0.5,1.75
박동원,LG,0.285,84,313,37,75,12,0,15,51,40,68,0.377,0.879
박민,KIA,0.233,25,48,6,10,3,0,1,4,3,16,0.298,0.67
박민석,KT,0.263,19,21,5,5,1,1,0,1,2,4,0.333,0.754
박민우,NC,0.319,79,323,45,90,20,7,1,47,28,42,0.397,0.847
박병호,삼성,0.214,61,191,25,34,4,0,15,33,25,55,0.335,0.857
박성한,SSG,0.26,84,348,44,74,17,0,5,28,57,64,0.384,0.756
박세혁,NC,0.13,30,59,5,7,1,0,2,7,4,20,0.186,0.445
박수종,키움,0.154,29,40,3,6,0,0,1,2,1,12,0.175,0.406
박승규,삼성,0.32,33,83,15,24,3,0,2,6,7,18,0.386,0.826
박승욱,롯데,0.128,33,43,4,5,2,0,0,0,2,13,0.19,0.369
박시원,NC,0.205,41,50,11,9,2,0,1,2,5,15,0.286,0.604
박영빈,NC,0.25,15,5,8,1,0,0,0,1,1,2,0.4,0.65
박재엽,롯데,0.308,8,15,2,4,1,0,1,3,2,4,0.4,1.015
박재현,KIA,0.1,30,32,6,3,1,0,0,0,2,12,0.156,0.289
박정우,KIA,0.28,38,61,11,14,2,0,0,4,9,11,0.41,0.73
박주홍,키움,0.173,58,117,7,18,3,0,2,9,9,40,0.241,0.501
박준순,두산,0.319,39,101,12,30,2,0,2,6,3,18,0.34,0.744
박준영,두산,0.225,41,126,9,25,8,0,1,10,10,32,0.304,0.628
박지환,SSG,0.143,24,63,3,8,0,0,0,4,3,18,0.183,0.326
박지훈,두산,0.167,25,8,3,1,0,0,0,0,0,2,0.286,0.453
박찬형,롯데,0.395,16,46,8,17,0,1,1,5,3,5,0.435,0.947
박찬호,KIA,0.288,79,353,45,88,12,0,3,25,36,43,0.36,0.716
박한결,NC,0.118,8,19,2,2,0,0,2,3,2,8,0.211,0.682
박해민,LG,0.26,88,337,44,71,8,2,1,21,43,66,0.37,0.685
배정대,KT,0.211,84,262,25,48,11,2,2,28,18,62,0.286,0.59
변상권,키움,0.25,9,17,2,4,1,0,0,2,0,2,0.235,0.548
변우혁,KIA,0.215,40,132,9,26,7,0,0,16,10,40,0.28,0.553
서건창,KIA,0.136,10,26,1,3,1,0,1,2,2,5,0.208,0.526
서호철,NC,0.272,56,165,8,40,4,0,1,19,5,26,0.302,0.622
석정우,SSG,0.27,20,40,3,10,1,0,2,3,3,13,0.325,0.784
손성빈,롯데,0.158,21,22,3,3,0,0,1,3,1,6,0.238,0.554
손아섭,NC,0.305,73,259,21,71,13,3,0,33,23,32,0.366,0.752
손용준,LG,0.2,4,10,1,2,0,0,0,0,0,3,0.2,0.4
손호영,롯데,0.253,53,210,18,47,4,0,2,22,12,38,0.307,0.613
송성문,키움,0.287,91,400,53,102,21,1,14,51,41,60,0.36,0.829
송승환,NC,0.214,12,14,0,3,1,0,0,2,0,5,0.214,0.5
송지후,키움,0.141,24,69,3,9,1,0,1,4,2,15,0.188,0.391
송찬의,LG,0.212,65,165,18,31,9,1,3,20,9,48,0.293,0.642
