Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Strike_Out,Runs,Earned_Run,WHIP
김선기,키움,5.57,29,1,5,0,1,53.333,66,4,35,30,36,33,1.89
오석주,키움,5.7,34,0,1,0,3,36.333,45,3,18,27,23,23,1.73
김윤하,키움,6.31,15,0,10,0,0,71.333,97,10,40,44,60,50,1.92
김연주,키움,6.51,14,1,2,0,0,37.333,50,7,15,20,28,27,1.74
이강준,키움,6.57,29,0,3,0,2,24.667,29,3,17,26,22,18,1.86
조영건,키움,6.79,28,2,4,0,4,54.333,62,10,25,35,42,41,1.6
박정훈,키움,7.2,5,0,0,0,0,5.0,7,1,3,1,4,4,2.0
이준우,키움,7.48,29,1,4,0,3,21.667,31,6,10,22,19,18,1.89
양지율,키움,8.36,18,0,2,0,1,14.0,18,3,7,10,13,13,1.79
윤현,키움,8.59,17,2,1,0,0,22.0,31,2,23,15,28,21,2.45
정세영,키움,9.0,3,0,0,0,0,2.0,6,0,1,0,3,2,3.5
손힘찬,키움,11.25,4,0,0,0,0,4.0,5,0,4,4,5,5,2.25
전준표,키움,12.15,7,0,0,0,0,6.667,15,0,6,7,9,9,3.15
윤석원,키움,12.19,11,0,0,0,1,10.333,15,1,7,6,14,14,2.13
손현기,키움,15.0,2,0,0,0,0,3.0,4,1,6,1,5,5,3.33
김서준,키움,20.25,4,0,0,0,0,5.333,14,2,5,4,12,12,3.56
임진묵,키움,27.0,2,0,0,0,0,1.333,4,0,3,0,5,4,5.25
