Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
이상규,한화,5.63,21,1,4,0,0,0.2,32.0,39,5,15,1,27,20,20,1.69,0,0,0,1,149,614,0.298,7,1,2,0,1,1,0
이상동,KT,5.34,29,0,1,0,3,0.0,32.0,42,3,14,3,30,20,19,1.75,0,0,0,0,152,568,0.328,9,0,1,6,1,4,1
이상민,삼성,3.9,37,2,1,1,8,0.667,30.0,31,2,6,4,12,13,13,1.23,0,0,0,0,121,416,0.282,5,0,1,0,0,2,0
이상영,LG,3.31,8,0,1,0,1,0.0,16.333,15,1,8,4,8,6,6,1.41,0,0,0,0,75,302,0.242,0,0,0,1,0,2,0
이선우,KT,5.4,6,0,0,0,0,,10.0,10,0,4,2,4,6,6,1.4,0,0,0,0,45,183,0.263,0,0,0,1,0,0,0
이승민,삼성,8.56,25,1,4,0,0,0.2,47.333,71,14,26,3,23,48,45,2.05,0,0,0,0,237,920,0.343,8,1,0,1,0,1,0
이승현,삼성,4.23,17,6,4,0,0,0.6,87.333,88,9,37,6,68,44,41,1.43,0,0,5,0,384,1528,0.264,11,1,4,4,0,4,0
이영하,두산,3.99,59,5,4,2,5,0.556,65.333,62,4,36,2,59,34,29,1.5,0,0,0,1,298,1188,0.243,9,3,3,2,1,7,0
이용준,NC,6.68,9,2,3,0,0,0.4,33.667,42,5,14,1,26,28,25,1.66,0,0,1,0,157,603,0.302,6,2,2,1,0,1,0
이용찬,NC,6.13,57,3,9,16,2,0.25,54.333,82,6,21,2,49,48,37,1.9,0,0,0,4,262,1042,0.353,20,3,5,2,1,6,0
이우찬,LG,8.82,42,3,2,0,6,0.6,33.667,42,2,30,1,31,35,33,2.14,0,0,0,0,172,678,0.3,6,1,1,0,0,6,1
이의리,KIA,5.4,4,1,0,0,0,1.0,13.333,17,3,14,0,14,10,8,2.33,0,0,0,0,69,288,0.309,3,0,0,0,0,0,0
이인복,롯데,9.55,8,0,3,0,0,0.0,33.0,49,10,13,3,20,35,35,1.88,0,0,1,0,159,580,0.358,14,0,1,5,0,4,0
이재익,삼성,17.69,9,1,0,0,0,1.0,9.667,29,2,4,0,6,19,19,3.41,0,0,0,0,58,222,0.537,3,0,0,0,0,0,0
이재학,NC,5.52,21,3,12,0,0,0.2,104.333,108,17,42,4,97,68,64,1.44,0,0,7,0,462,1814,0.266,27,3,8,2,0,2,0
이종민,키움,7.63,12,1,8,0,0,0.111,43.667,56,9,22,5,21,39,37,1.79,0,0,0,0,212,754,0.313,10,2,1,5,2,0,1
이종준,LG,4.15,27,1,2,0,1,0.333,26.0,26,4,16,0,28,13,12,1.62,0,0,0,0,119,489,0.255,5,0,1,0,0,1,0
이준영,KIA,3.86,56,4,0,0,9,1.0,35.0,37,5,17,2,33,21,15,1.54,0,0,0,1,160,622,0.268,8,0,3,0,3,0,0
이준호,NC,7.48,38,3,5,0,2,0.375,49.333,71,7,26,3,42,41,41,1.97,0,0,0,0,243,1019,0.34,11,0,2,3,0,0,0
이지강,LG,4.53,46,2,3,1,1,0.4,53.667,61,5,26,2,39,35,27,1.62,0,0,0,1,250,973,0.28,9,0,1,3,0,5,0
